url,brand,first_reg,type,body_type,engine,fuel,mileage,drive_type,gearbox,color,price
https://www.auto24.ee/soidukid/4098580,Toyota Land Cruiser,1992,maastur,universaal,4.2 123kW,diisel,464000,nelikvedu,manuaal,punane,19
https://www.auto24.ee/soidukid/4095518,Opel Corsa,2008,sõiduauto,luukpära,1.2 59kW,bensiin,180000,esivedu,automaat,must,300
https://www.auto24.ee/soidukid/4241916,Saab 9000,1992,sõiduauto,luukpära,2.3 110kW,bensiin,305698,esivedu,automaat,valge,340
https://www.auto24.ee/soidukid/4215960,Fiat Albea Comfort LPG,2008,sõiduauto,sedaan,1.4 57kW,bensiin + gaas (LPG/vedelgaas),179000,esivedu,manuaal,helesinine met.,399
https://www.auto24.ee/soidukid/4239545,Ford Focus,2007,sõiduauto,universaal,1.8 85kW,diisel,287000,esivedu,manuaal,hõbedane met.,399
https://www.auto24.ee/soidukid/4197828,Honda Accord,2008,sõiduauto,mahtuniversaal,2.0 114kW,bensiin,402000,esivedu,manuaal,hõbedane,399
https://www.auto24.ee/soidukid/4223758,Peugeot 307 Elegance ATM,2002,sõiduauto,luukpära,1.6 80kW,bensiin,186000,esivedu,automaat,roheline,399
https://www.auto24.ee/soidukid/4204313,Renault Scenic Facelift,2001,sõiduauto,luukpära,1.4 70kW,bensiin,222000,esivedu,manuaal,heleroheline met.,399
https://www.auto24.ee/soidukid/4197794,Toyota Yaris,2007,sõiduauto,mahtuniversaal,1.4 66kW,diisel,419000,esivedu,manuaal,must,399
https://www.auto24.ee/soidukid/4217816,Citroen C1,2007,sõiduauto,luukpära,1.0 50kW,bensiin,124259,esivedu,manuaal,punane,400
https://www.auto24.ee/soidukid/4244795,Saab 9-3,1998,sõiduauto,luukpära,2.0 136kW,bensiin,246493,esivedu,manuaal,punane,400
https://www.auto24.ee/soidukid/4106398,Jaguar X-Type,2001,sõiduauto,sedaan,2.5 144kW,bensiin,170000,nelikvedu,automaat,hõbedane met.,444
https://www.auto24.ee/soidukid/4169105,Mazda 2,2008,sõiduauto,universaal,1.4,bensiin,128000,,manuaal,kuldne met.,444
https://www.auto24.ee/soidukid/4208961,Peugeot 206 Elegance,2005,sõiduauto,luukpära,1.4 55kW,bensiin,136000,esivedu,manuaal,hall,449
https://www.auto24.ee/soidukid/4233321,Honda Civic,2007,sõiduauto,sedaan,1.8 103kW,bensiin,290110,esivedu,manuaal,,450
https://www.auto24.ee/soidukid/4199821,Volvo S70,1998,sõiduauto,sedaan,2.4 121kW,bensiin,,esivedu,automaat,hall,450
https://www.auto24.ee/soidukid/4232838,Mazda 5,2006,sõiduauto,mahtuniversaal,2.0 107kW,bensiin,320000,esivedu,manuaal,tumehall,480
https://www.auto24.ee/soidukid/4237829,Volkswagen Jetta,2007,sõiduauto,sedaan,1.6 75kW,bensiin,206000,esivedu,manuaal,helesinine met.,490
https://www.auto24.ee/soidukid/4243803,Chrysler Voyager,2001,sõiduauto,mahtuniversaal,2.4 108kW,bensiin,310532,esivedu,manuaal,beež,495
https://www.auto24.ee/soidukid/4245595,Ford Galaxy,1999,sõiduauto,mahtuniversaal,2.3 107kW,bensiin,197000,esivedu,manuaal,,499
https://www.auto24.ee/soidukid/4216990,Honda Civic Elegance,2007,sõiduauto,sedaan,1.8 103kW,bensiin,236000,esivedu,manuaal,hall met.,499
https://www.auto24.ee/soidukid/4249143,Honda HR-V Comfort 4x4,2000,maastur,universaal,1.6 91kW,bensiin,278000,nelikvedu,manuaal,hõbedane,499
